Architecture,Factor,Degree,GA,IA,GAcc,IAcc,FRR,FAR,EER
Arch B (1_to_lock_1_to_unlock),8,6,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_rest_to_unlock),8,6,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_1_to_unlock),8,7,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_rest_to_unlock),8,7,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_1_to_unlock),8,8,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_rest_to_unlock),8,8,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_1_to_unlock),8,9,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_rest_to_unlock),8,9,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_1_to_unlock),8,10,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_rest_to_unlock),8,10,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
